lat,long,time,rssi,snr
40.24717,-111.6477,2020-03-11T22:22:21.764727317Z,-62,7.5
40.24717,-111.6477,2020-03-11T22:22:31.882619676Z,-63,7.5
40.24717,-111.6477,2020-03-11T22:22:36.599860378Z,-60,10.0
40.24717,-111.6477,2020-03-11T22:22:41.306918546Z,-63,7.8
40.24717,-111.6477,2020-03-11T22:22:46.021901974Z,-71,9.5
40.24715,-111.6477,2020-03-11T22:22:51.262162384Z,-66,9.8
40.24715,-111.6477,2020-03-11T22:23:00.686366852Z,-61,9.8
40.24715,-111.6477,2020-03-11T22:23:05.39768506Z,-59,9.5
40.24715,-111.6477,2020-03-11T22:23:10.677304358Z,-63,10.0
40.24715,-111.6477,2020-03-11T22:23:15.38721422Z,-66,7.8
40.24715,-111.6477,2020-03-11T22:23:20.065562049Z,-67,10.2
40.24715,-111.6477,2020-03-11T22:23:24.74517122Z,-60,10.0
40.24715,-111.6477,2020-03-11T22:23:29.991753337Z,-60,9.5
40.24715,-111.6477,2020-03-11T22:23:34.66223781Z,-59,9.0
40.24715,-111.6477,2020-03-11T22:23:39.331107729Z,-61,10.2
40.24715,-111.6477,2020-03-11T22:23:49.251999844Z,-63,7.2
40.24715,-111.6477,2020-03-11T22:23:53.929609049Z,-65,10.2
40.24715,-111.6477,2020-03-11T22:23:58.604564768Z,-65,9.5
40.24715,-111.6477,2020-03-11T22:24:03.282157373Z,-63,10.0
40.24715,-111.6477,2020-03-11T22:24:08.380529442Z,-60,8.8
40.24715,-111.6477,2020-03-11T22:24:17.735503645Z,-65,10.2
40.24715,-111.6477,2020-03-11T22:24:22.413509763Z,-64,10.0
40.24722,-111.6477,2020-03-11T22:24:26.110034178Z,-70,6.2
40.24722,-111.6477,2020-03-11T22:24:30.788896224Z,-61,7.8
40.24722,-111.6477,2020-03-11T22:24:35.457721842Z,-60,9.5
40.24722,-111.6477,2020-03-11T22:24:40.140099704Z,-57,10.0
40.24722,-111.6477,2020-03-11T22:24:45.244323364Z,-57,9.8
40.24722,-111.6477,2020-03-11T22:24:49.919716797Z,-60,10.2
40.24722,-111.6477,2020-03-11T22:24:54.592272237Z,-59,9.8
40.24722,-111.6477,2020-03-11T22:24:59.265396196Z,-50,9.5
40.24722,-111.6477,2020-03-11T22:25:02.957123253Z,-63,7.2
40.24722,-111.6477,2020-03-11T22:25:07.633891831Z,-58,9.0
40.24722,-111.6477,2020-03-11T22:25:12.307502306Z,-63,9.0
40.24722,-111.6477,2020-03-11T22:25:16.987663195Z,-58,10.0
40.24722,-111.6477,2020-03-11T22:25:26.907069461Z,-61,10.2
40.24722,-111.6477,2020-03-11T22:25:31.580016514Z,-65,10.8
40.24722,-111.6477,2020-03-11T22:25:36.259666686Z,-60,10.0
40.24727,-111.6477,2020-03-11T22:25:41.395747089Z,-72,9.0
40.24727,-111.6477,2020-03-11T22:25:46.066385166Z,-65,10.2
40.24727,-111.6477,2020-03-11T22:25:50.749386048Z,-57,10.5
40.24727,-111.6477,2020-03-11T22:25:55.426047722Z,-66,9.8
40.24727,-111.6477,2020-03-11T22:26:03.821103226Z,-66,7.8
40.24727,-111.6477,2020-03-11T22:26:08.530590575Z,-65,9.8
40.24727,-111.6477,2020-03-11T22:26:13.246246325Z,-57,10.5
40.24727,-111.6477,2020-03-11T22:26:18.210362502Z,-60,9.5
40.24727,-111.6477,2020-03-11T22:26:22.742633554Z,-57,10.2
40.24727,-111.6477,2020-03-11T22:26:27.416938451Z,-58,9.0
40.24727,-111.6477,2020-03-11T22:26:31.958585209Z,-63,9.5
40.24727,-111.6477,2020-03-11T22:26:36.217066905Z,-57,9.8
40.24727,-111.6477,2020-03-11T22:26:40.746881276Z,-63,9.8
40.24727,-111.6477,2020-03-11T22:26:45.432158733Z,-60,7.5
40.24727,-111.6477,2020-03-11T22:26:58.967284169Z,-57,9.0
40.24727,-111.6477,2020-03-11T22:27:03.653551358Z,-54,10.0
40.24727,-111.6477,2020-03-11T22:27:08.19010645Z,-51,6.8
40.24727,-111.6477,2020-03-11T22:27:12.860813629Z,-57,10.2
40.24727,-111.6477,2020-03-11T22:27:16.972417621Z,-59,10.5
40.24727,-111.6477,2020-03-11T22:27:21.545706314Z,-53,9.5
40.24727,-111.6477,2020-03-11T22:27:26.22148146Z,-59,10.2
40.24727,-111.6477,2020-03-11T22:27:30.795186366Z,-78,9.5
40.24727,-111.6477,2020-03-11T22:27:35.049954541Z,-57,6.5
40.24727,-111.6477,2020-03-11T22:27:44.297250822Z,-54,9.8
40.24727,-111.6477,2020-03-11T22:27:48.992158893Z,-58,10.0
40.24712,-111.6477,2020-03-11T22:27:53.235259986Z,-52,9.5
40.24712,-111.6477,2020-03-11T22:27:57.767496436Z,-58,10.0
40.24712,-111.6477,2020-03-11T22:28:02.447361015Z,-61,9.8
40.24713,-111.6477,2020-03-11T22:28:06.978397827Z,-64,9.2
40.24718,-111.6479,2020-03-11T22:28:11.525061149Z,-72,9.0
40.24718,-111.648,2020-03-11T22:28:15.91609308Z,-70,9.8
40.24718,-111.648,2020-03-11T22:28:20.47398677Z,-75,9.2
40.24719,-111.648,2020-03-11T22:28:25.154156059Z,-72,9.8
40.24719,-111.6481,2020-03-11T22:28:33.667066018Z,-83,6.8
40.2472,-111.6481,2020-03-11T22:28:38.243812925Z,-72,9.5
40.24721,-111.6481,2020-03-11T22:28:42.914930518Z,-75,9.2
40.24726,-111.6482,2020-03-11T22:28:47.44934634Z,-78,8.2
40.24731,-111.6482,2020-03-11T22:29:00.498421377Z,-89,3.8
40.2473,-111.6482,2020-03-11T22:29:05.070218622Z,-82,9.8
40.2473,-111.6482,2020-03-11T22:29:09.638548953Z,-75,9.8
40.24743,-111.6484,2020-03-11T22:29:14.748840412Z,-72,8.2
40.24742,-111.6484,2020-03-11T22:29:19.283207832Z,-67,2.2
40.24744,-111.6484,2020-03-11T22:29:23.822065999Z,-73,6.5
40.24746,-111.6484,2020-03-11T22:29:28.352305184Z,-69,8.5
40.24763,-111.6485,2020-03-11T22:29:33.458101895Z,-77,10.0
40.24763,-111.6486,2020-03-11T22:29:38.127002416Z,-72,10.0
40.24784,-111.6485,2020-03-11T22:29:51.5321104Z,-84,4.2
40.24785,-111.6485,2020-03-11T22:29:56.064888568Z,-72,7.8
40.24785,-111.6485,2020-03-11T22:30:00.600104516Z,-79,10.2
40.24786,-111.6485,2020-03-11T22:30:05.175943292Z,-70,4.2
40.24786,-111.6485,2020-03-11T22:30:09.851844842Z,-75,8.2
40.24805,-111.6486,2020-03-11T22:30:13.445904704Z,-76,8.8
40.24805,-111.6486,2020-03-11T22:30:18.118061732Z,-90,10.0
40.24806,-111.6486,2020-03-11T22:30:22.648768532Z,-85,-0.5
